精致辣妈蓉儿,2,生活,17858754,4248644,95
软软大测评,1,科技,40192357,4245727,465
广东雨神（卢大雨）,1,音乐,9572494,4237461,71
哈K,1,宠物,60078221,4233950,209
咩咩爱历史,1,文化,27148102,4209731,179
向波老师,1,文化,20093620,4208897,66
太阳妹妹（晨晨）,2,搞笑,65763786,4207333,282
难言x游戏解说,1,游戏,52723985,4206403,365
钟山说,1,图文控,22940195,4203326,159
大壮,1,音乐,11194286,4188263,85
尬演团队,1,蓝V,38384796,4186519,81
韩长江JACKY,1,才艺,9507290,4161075,50
毛毛毛,1,生活,41464481,4150114,362
翔翔大作战,1,美食,26529704,4146425,228
梁洁Little,2,娱乐,12732608,4143940,14
新华社,1,蓝V,56028230,4124995,230
杰克大魔王,1,动漫,38979641,4121459,100
泡椒好吃嘛,2,美食,47933355,4118175,286
鬼哥,1,搞笑,73998595,4105814,107
压寨夫人,1,帅哥,34293290,4100757,76
胡阿小小,2,美女,25545544,4092377,126
程野,1,娱乐,9806764,4081966,47
Fs-阿诺,1,音乐,21738605,4081133,321
太原宾利哥立少,1,其他,9859830,4077438,134
悟禅,1,文化,25175504,4072001,131
喳喳呱,1,游戏,47591249,4068972,613
罗休休,2,搞笑,39158057,4054592,293
成龙吧官微,1,娱乐,8919651,4045109,95
俊哲迪迪,1,帅哥,11814458,4039113,124
小信吃鸡,1,游戏,27276710,4031705,156
佟大为,1,娱乐,9539528,4031063,18
钓鱼人张良,1,才艺,9514710,4030092,294
河南广播电视台民生频道,0,资讯,44398434,4029262,999
大师说车,0,汽车,13867623,4028788,175
尚推荐（老尚）,2,生活,40976971,4018303,304
甜哥Gee,2,美女,21202663,4015443,122
Christy钟丽缇,2,娱乐,4916015,4007483,185
星座疗伤师,1,娱乐,20042700,3999879,246
李予诺,2,美女,38825423,3972604,244
尧尧很爱笑,1,搞笑,34511408,3970656,92
卓宝,2,娱乐,24542708,3970590,200
舞林一分钟,2,美女,12801344,3958670,965
拍照自修室,2,才艺,5706129,3958035,71
李雪琴,2,娱乐,28393368,3956657,148
一一丫丫,2,美女,40814002,3953202,356
Seojin_Ban潘南奎,2,美女,20075612,3940813,108
卷毛佟,1,影视,6843261,3940564,195
王小潮,2,美食,20410728,3937807,122
调酒师--扬扬,2,美食,23192918,3934533,100
大中华区总裁,1,汽车,32620274,3932343,162
维意定制家居,2,才艺,17787527,3927313,395
孙耀威,1,其他,18338171,3914159,73
L李宏毅,1,娱乐,6280365,3904598,16
胖胖胖,1,音乐,10073321,3886165,86
知爷好设计,2,生活,8580336,3877999,214
内双无双,2,剧情,36836464,3871796,78
月亮姐姐,2,娱乐,20427778,3871153,67
李二甩,1,搞笑,25654320,3860858,94
懂车侦探,1,汽车,20321463,3858029,14
家常美食教程,2,美食,13775519,3852222,56
孟子坤_,1,帅哥,17627077,3843342,39
壹捌修木头修皮革,1,才艺,30385504,3839321,60
小小莎老师,2,美女,12144734,3834886,206
喵星人❤特特❤,1,宠物,33022860,3831430,93
黑泽♠️,1,帅哥,19607797,3830819,161
笑笑说游,1,游戏,30840748,3822762,190
二郎,1,音乐,14269849,3806105,31
韩41【大石桥联盟】,1,蓝V,26656844,3802303,159
秦岚,2,娱乐,6246688,3802228,20
文弘音乐,1,生活,22252487,3800680,639
Rita姐_白彦翧,2,美妆,32096928,3792351,305
搖呼啦圈,0,其他,8745469,3792349,6
路边小郎君,1,音乐,66678987,3779010,222
张晋max,0,娱乐,18841133,3776279,20
夢想家林志穎,1,娱乐,3357235,3772425,6
天台食堂,1,美食,10245157,3771052,143
枚子教你瘦,2,生活,15077968,3743439,111
知希大人,2,美女,9059542,3736732,20
吴昕,0,娱乐,9016565,3734325,16
塑料姐妹,2,剧情,26225561,3728011,129
